代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
2542,興富發,2020/06,M,-,7,9 9,APL,+,,,+,-4,,129,60,-134,-40
2543,皇昌,2020/06,M,-,7,7 7, P +,,,,,254,,51,1,58,-22
2545,皇翔,2020/06,M,-,8,9 9, P,,,,,-124,,54,55,-118,-40
2546,根基,2020/06,M,-,6,2 2,,+,,,,680,,75,64,98,45
2547,日勝生,2020/06,M,-,9,9 9,AP,+,,,+,-233,,76,4,-123,-2
2548,華固,2020/06,M,-,4,2 1,A,+,,,,819,,132,97,60,86
2596,綠意,2020/06,M,-,6,8 8,AP,,,,,199,,6,14,60,-40
2597,潤弘,2020/06,M,-,5,4 4,,+,,,,549,,79,29,78,70
2599,樂揚,2020/06,M,-,6,5 3,A,,,,,623,,10,75,100,80
2601,益航,2020/06,M,-,7,7 7,AP,+,,,+,268,,78,-1,46,-40
2603,長榮,2020/06,M,-,5,5 4, P +,+,,,,547,,140,35,33,43
2605,新興,2020/06,M,-,5,4 4, P,+,,,,568,,62,36,93,41
2606,裕民,2020/06,M,-,5,6 6, P,,,,,341,,97,-4,40,48
2607,榮運,2020/06,M,-,4,3 3, P,+,,,,603,,84,31,92,44
2608,嘉里大榮,2020/06,M,-,4,3 2,,+,,,,706,,95,68,84,35
2609,陽明,2020/06,M,-,7,9 9, P +,+,,,,-676,,140,-6,-257,46
2610,華航,2020/06,M,-,7,7 7, P,+,,,+,252,,140,-4,3,48
2611,志信,2020/06,M,-,8,7 7,AP,,,,,255,,9,-7,81,-24
2612,中航,2020/06,M,-,5,7 7, P,+,,,,330,,48,14,50,46
2613,中櫃,2020/06,M,-,7,6 6, P,+,,,,358,,42,7,72,24
2614,東森,2020/06,M,-,7,5 5, P,,,,,492,,54,21,92,18
2615,萬海,2020/06,M,-,5,2 2,,+,,,,698,,140,40,73,49
2616,山隆,2020/06,M,-,5,4 4,,+,,,,590,,84,20,88,98
2617,台航,2020/06,M,-,5,5 5, P,+,,,,452,,40,41,66,49
2618,長榮航,2020/06,M,-,7,6 6,AP,+,,,+,410,,140,-4,48,48
2630,亞航,2020/06,M,↓,7,9 9,AP,+,,,,159,,33,,45,-40
2633,台灣高鐵,2020/06,F,-,6,9 9, P,+,,,,-482,,140,50,-296,30
2634,漢翔,2020/06,M,↓,5,7 7,A,+,,,+,309,,138,10,15,-40
2636,台驊投控,2020/06,M,-,5,3 3,,+,,,,591,,65,49,87,33
2637,慧洋-KY,2020/06,M,-,7,9 9, P,,,,,73,,112,11,-48,50
2640,大車隊,2020/06,M,-,5,4 3,,+,,,,631,,14,96,90,38
2641,正德,2020/06,M,-,7,9 9, P,+,,,,163,,9,62,-21,50
2642,宅配通,2020/06,M,-,5,4 4,,+,,,,553,,28,49,100,34
2643,捷迅,2020/06,M,-,5,4 3,,,,,,606,,20,74,100,30
2701,萬企,2020/06,F,↓,6,6 5,A,,,,,482,,3,42,100,24
2702,華園,2020/06,M,-,9,9 9, P +,+,,,,-838,,16,-16,-220,48
2704,國賓,2020/06,M,-,4,6 6, P,,,,,405,,34,-6,100,42
2705,六福,2020/06,M,-,8,9 9, P +,+,,,,-586,,26,-49,-98,41
2706,第一店,2020/06,F,↓,6,6 5,,,,,,493,,3,41,100,50
2707,晶華,2020/06,M,-,4,4 4,,+,,,,588,,60,56,82,43
2712,遠雄來,2020/06,F,-,7,7 7, P,+,,,,285,,5,1,76,48
2718,晶悅,2020/06,M,-,9,9 9, P,,,,,-32,,1,-8,4,-40
2719,燦星旅,2020/06,M,↓,8,8 8,AP,+,,,,177,,3,-60,92,48
2721,楷捷-KY,2020/06,M,-,9,9 9,AP +,,,,,76,,3,-26,49,-40
2722,夏都,2020/06,M,-,6,7 7, P,+,,,,300,,8,-8,85,48
2723,美食-KY,2020/06,M,-,4,3 3, P,,,,,673,,114,31,94,32
2724,富驛-KY,2020/06,M,-,D,D D,AP,+,,,,-888,,3,-60,-274,41
2726,雅茗-KY,2020/06,M,↓,7,8 8,AP,+,,,,235,,10,-26,80,33
2727,王品,2020/06,M,↓,5,5 5, P,+,,,,441,,85,-6,90,6
2729,瓦城,2020/06,M,-,5,3 3,,,,,,594,,39,56,98,44
2730,美麗信,2020/06,F,-,8,8 8, P,+,,,,185,,2,-18,59,48
2731,雄獅,2020/06,M,↓,5,6 6, P,+,,,,419,,83,-24,100,50
2732,六角,2020/06,M,-,5,6 6, P,+,,,,400,,33,13,83,35
2733,維格,2020/06,M,-,7,7 7,AP,,,,,263,,3,-38,84,97
2734,易飛網,2020/06,M,↓,8,8 8,AP,+,,,,178,,3,-60,93,42
2736,高野,2020/06,M,↓,7,7 7, P +,,,,,271,,6,-15,81,48
2739,寒舍,2020/06,M,↓,7,8 8, P,+,,,,239,,49,-36,81,47
2740,天蔥,2020/06,M,-,8,8 8, P,+,,,,184,,1,-60,94,46
2741,老四川,2020/06,F,-,5,6 6,,+,,,,336,,5,21,77,21
2743,山富,2020/06,M,-,6,6 6, P,,,,,368,,16,-11,100,50
2745,五福,2020/06,F,↓,6,6 6,AP,,,,,385,,19,-8,100,50
2748,雲品,2020/06,M,-,6,7 7, P,,,,,257,,21,-5,61,48
2750,桃禧,2020/06,M,↓,9,9 9, P,+,,,,-220,,4,-15,-56,45
2752,豆府,2020/06,M,-,6,4 3,,,,,,649,,8,95,100,44
2753,八方雲集,2020/06,M,-,5,3 2,,+,,,,719,,32,114,88,41
2754,亞洲藏壽司,2020/06,M,-,5,7 7, P,,,,,330,,12,-4,85,48
2755,揚秦,2020/06,M,-,6,5 5,,,,,,435,,7,47,78,47
2841,台開,2020/06,M,-,9,9 9,AP +,+,,,,-45,,4,-10,7,-40
2901,欣欣,2020/06,F,-,5,6 5,A,+,,,,444,,1,17,100,81
2903,遠百,2020/06,M,-,4,3 3, P,+,,,+,619,,140,25,58,90
2904,匯僑,2020/06,M,-,6,6 4,,,,,,544,,6,90,74,43
2905,三商,2020/06,M,-,5,2 2, P,,,,,735,,140,19,100,99
2906,高林,2020/06,M,-,5,5 5, P,+,,,,457,,58,5,93,47
2908,特力,2020/06,M,-,5,5 5, P,+,,,,445,,140,26,9,60
2910,統領,2020/06,M,-,7,9 9,A,,,,,133,,6,47,7,-40
2911,麗嬰房,2020/06,M,-,7,9 9,AP,+,,,,159,,35,-25,72,-38
2912,統一超,2020/06,M,-,1,1 1,,+,,,,823,,140,62,87,95
2913,農林,2020/06,F,-,7,9 9,AP,+,,,,6,,3,-8,21,-40
2915,潤泰全,2020/06,M,-,6,7 7,AP,,,,,303,,41,29,58,-40
2916,滿心,2020/06,F,-,6,7 7, P,,,,,264,,7,4,93,-40
2920,海景,2020/06,M,-,7,6 6, P,+,,,,347,,7,-13,100,48
2923,鼎固-KY,2020/06,M,-,6,6 6, P +,,,,,347,,82,46,29,-40
2924,東凌-KY,2020/06,M,-,8,9 9,AP,,,,,108,,2,-28,69,-40
2926,誠品生活,2020/06,M,-,5,6 6,AP,+,,,,392,,64,-1,78,51
2928,紅馬-KY,2020/06,M,-,7,7 7, P,+,,,,328,,32,9,49,92
2929,淘帝-KY,2020/06,M,↓,7,7 7,AP,+,,,,306,,47,-49,100,89
2936,客思達-KY,2020/06,M,-,6,5 5, P,,,,,490,,58,10,91,69
2937,集雅社,2020/06,M,-,6,4 4,,,,,,533,,13,52,98,57
2938,床的世界,2020/06,M,-,7,5 5,A,,,,,455,,6,68,88,-25
2939,凱羿-KY,2020/06,M,↓,6,6 6, P,,,,,377,,11,-11,100,69
2942,京站,2020/06,M,-,5,5 4,,+,,,,572,,18,46,100,99
2945,三商家購,2020/06,M,-,6,5 5,,,,,,488,,60,27,67,87
2947,振宇五金,2020/06,M,-,-,5 5,,,,,,437,,10,79,49,36
3002,歐格,2020/06,M,-,6,7 7, P,,,,,304,,7,-4,100,-6
3003,健和興,2020/06,M,-,5,4 4,A,,,,,530,,37,65,100,-40
3004,豐達科,2020/06,M,↓,6,6 6,A,+,,,,364,,26,48,52,12
3005,神基,2020/06,M,-,4,1 1,,,,,,781,,133,69,94,25
3006,晶豪科,2020/06,M,-,5,3 3,A,,,,+,610,,82,69,93,-40
3008,大立光,2020/06,M,-,2,1 1,A,,,,,924,,140,101,100,40
3010,華立,2020/06,M,-,4,2 2,,+,,,,687,,140,41,77,53
3011,今皓,2020/06,M,-,7,7 7,AP,,,,,312,,9,-8,98,2
3013,晟銘電,2020/06,M,-,6,5 5,,+,,,,475,,43,27,93,28
3014,聯陽,2020/06,M,-,5,4 2,,,,,,723,,38,97,100,56
3015,全漢,2020/06,M,-,4,5 5,AP,+,,,,502,,90,,99,33
3016,嘉晶,2020/06,M,-,6,5 5, P,+,,,,420,,38,4,100,32
3017,奇鋐,2020/06,M,-,4,2 2,A,,,,,701,,140,63,67,30
3018,同開,2020/06,M,-,8,7 7, P,+,,,,295,,8,-3,73,52
3019,亞光,2020/06,M,-,4,4 4,A,,,,,587,,101,11,100,54
3021,鴻名,2020/06,M,-,6,5 5,,+,,,,428,,17,39,89,10
3022,威強電,2020/06,M,-,4,3 3,A,+,,,,666,,56,76,100,25
3023,信邦,2020/06,M,-,4,2 2,A,,,,+,732,,106,91,89,-18
3024,憶聲,2020/06,M,-,7,6 6,AP,+,,,,345,,17,6,88,28
3025,星通,2020/06,M,-,6,6 6,AP,,,,,375,,4,36,100,-40
3026,禾伸堂,2020/06,M,-,4,2 2,,,,,,727,,90,65,100,52
3027,盛達,2020/06,M,-,7,6 6, P,+,,,,356,,8,21,100,-22
3028,增你強,2020/06,M,-,5,5 5,AP,+,,,,485,,114,17,57,34
3029,零壹,2020/06,M,-,5,3 3,,+,,,,663,,54,63,100,66
3030,德律,2020/06,M,-,4,3 2,A,,,,,695,,47,114,100,-40
3031,佰鴻,2020/06,M,-,6,6 6,AP,,,,,383,,16,16,100,5
3032,偉訓,2020/06,M,-,5,4 4,,,,,,574,,61,56,86,26
3033,威健,2020/06,M,-,6,5 5, P,,,,+,464,,140,27,20,41
3034,聯詠,2020/06,M,-,3,1 1,A,,,,+,982,,140,116,100,54
3035,智原,2020/06,M,-,4,5 5,,+,,,,452,,50,2,100,48
3036,文曄,2020/06,M,-,4,3 3,AP,,,,+,618,,140,24,68,63
3037,欣興,2020/06,M,-,4,2 2,A,,,,,681,,140,33,78,66
3038,全台,2020/06,M,-,5,4 3,A,,,,,599,,29,69,96,44
3040,遠見,2020/06,M,-,6,6 3,A,+,,,,674,,2,104,100,58
3041,揚智,2020/06,M,-,6,6 6, P,+,,,,375,,20,-14,100,62
3042,晶技,2020/06,M,-,4,3 3,A,+,,,,647,,77,71,98,-15
3043,科風,2020/06,M,-,9,9 9,AP,+,,,,-821,,6,-39,-171,-6
3044,健鼎,2020/06,M,-,3,1 1,,+,,,,781,,140,60,93,42
3045,台灣大,2020/06,M,-,2,1 1,,+,,,,775,,140,79,56,89
3046,建碁,2020/06,M,-,8,8 8,AP +,+,,,,222,,9,-20,77,15
3047,訊舟,2020/06,M,-,7,6 6,A,+,,,,391,,48,27,73,-6
3048,益登,2020/06,M,-,7,5 5, P,+,,,+,481,,140,33,14,61
3049,和鑫,2020/06,M,-,6,4 4, P,+,,,,555,,53,41,76,98
3050,鈺德,2020/06,M,-,7,6 5,,+,,,,498,,13,59,72,78
3051,力特,2020/06,M,-,D,9 9,AP,,,,,-899,,35,5,-261,-40
3052,夆典,2020/06,M,-,6,5 5,A,,,,,502,,57,43,56,94
3054,立萬利,2020/06,M,-,7,6 6, P,,,,,338,,3,-17,100,61
3055,蔚華科,2020/06,M,↓,7,7 7,AP,+,,,,331,,28,-7,87,27
3056,總太,2020/06,M,-,6,6 6,A,+,,,,372,,65,64,,51
3057,喬鼎,2020/06,M,-,8,9 9,AP,+,,,,146,,8,-34,83,-40
3058,立德,2020/06,M,-,6,7 7, P +,+,,,,320,,34,-4,75,39
3059,華晶科,2020/06,M,-,5,5 5,AP,,,,,493,,64,2,100,61
3060,銘異,2020/06,M,-,7,6 6, P,,,,,375,,37,-13,93,58
3062,建漢,2020/06,M,↓,6,5 5, P,,,,,450,,48,-1,100,58
3064,泰偉,2020/06,M,-,9,9 9,AP +,,,,,-857,,2,-60,-144,-40
3066,李洲,2020/06,M,-,9,8 8,AP,,,,,229,,4,-9,65,41
3067,全域,2020/06,M,-,7,7 7, P,,,,,304,,,-28,100,52
3071,協禧,2020/06,M,-,6,5 4,,,,,,523,,16,59,93,35
3073,天方能源,2020/06,M,-,9,9 9,AP,+,,,,-108,,1,10,-46,43
3078,僑威,2020/06,M,-,4,3 3,,,,,,660,,51,77,100,27
3081,聯亞,2020/06,F,-,4,5 3,,+,,,,628,,25,75,100,52
3083,網龍,2020/06,M,-,6,6 6,AP,,,,,375,,5,-3,100,67
3085,新零售,2020/06,M,-,D,D D, P,+,,,,-888,,1,-60,-888,80
3086,華義,2020/06,M,-,8,7 7,AP,+,,,,272,,1,-20,76,78
3088,艾訊,2020/06,M,-,5,4 4,A,+,,,,572,,34,63,99,19
3089,元炬,2020/06,M,-,9,8 8,AP,+,,,,240,,2,-16,100,-40
3090,日電貿,2020/06,M,-,5,3 3,,+,,,,632,,60,66,97,24
3092,鴻碩,2020/06,M,-,6,5 5,A,,,,,476,,24,60,81,3
3093,港建,2020/06,M,-,6,5 3,A,+,,,,624,,7,85,100,54
3094,聯傑,2020/06,M,-,6,6 6,A,+,,,,398,,3,28,100,9
3095,及成,2020/06,M,-,9,9 9,AP,,,,,-454,,3,-14,-143,61
3097,拍檔,2020/06,M,-,7,6 6, P,+,,,,335,,18,-8,83,61
3105,穩懋,2020/06,M,-,4,2 1,A,+,,,,898,,138,106,93,25
3114,好德,2020/06,M,-,6,5 5,,+,,,,430,,21,25,86,57
3115,寶島極,2020/06,M,-,8,6 6, P,+,,,,358,,2,-9,100,57
3117,年程,2020/06,M,-,9,9 9, P,+,,,,-149,,4,-38,-4,4
3118,進階,2020/06,F,-,6,6 4,,,,,,511,,4,48,100,59
3122,笙泉,2020/06,M,-,6,7 7, P,+,,,,317,,2,-19,100,46
3128,昇銳,2020/06,M,-,7,7 7,A,,,,,308,,5,24,81,-15
3130,一零四,2020/06,M,-,4,5 3,,+,,,,654,,13,76,100,99
3131,弘塑,2020/06,M,-,5,5 4,A,+,,,,536,,27,77,97,-40
3138,耀登,2020/06,M,-,7,6 4,,,,,,544,,6,62,100,45
3141,晶宏,2020/06,M,-,6,6 6,A,,,,,396,,7,41,100,-40
3144,新揚科,2020/06,M,-,6,6 6,A,+,,,,339,,23,34,77,-40
3147,大綜,2020/06,M,-,5,5 5,A,,,,,496,,15,41,95,59
3149,正達,2020/06,M,-,9,9 9, P,+,,,,31,,21,-48,40,58
3150,鈺寶,2020/06,F,-,7,6 6,AP,+,,,,348,,1,-1,100,41
3152,璟德,2020/06,F,-,5,5 2,A,,,,,732,,21,114,100,48
3158,嘉實,2020/06,M,-,5,6 3,,,,,,643,,4,80,100,96
3162,精確,2020/06,M,-,9,7 7,AP +,+,,,,283,,5,-13,78,65
3163,波若威,2020/06,M,-,6,4 3,A,+,,,,613,,20,75,100,48
3164,景岳,2020/06,M,-,7,6 5,,,,,,497,,4,53,100,31
3167,大量,2020/06,M,↓,6,6 6,A,,,,,378,,21,41,85,-40
3168,眾福科,2020/06,M,-,6,5 4,AP,+,,,,561,,14,59,100,57
3169,亞信,2020/06,M,-,6,6 3,,+,,,,648,,5,88,100,75
3171,新洲,2020/06,M,-,7,4 4,,+,,,,536,,9,66,87,58
3176,基亞,2020/06,M,-,7,9 9, P +,+,,,,88,,6,-44,78,-40
3178,公準,2020/06,M,-,7,5 5,,,,,,466,,11,69,66,40
3184,微邦,2020/06,M,-,8,7 7,AP +,+,,,,256,,3,-23,100,-17
3188,鑫龍騰,2020/06,F,-,7,9 9,APL,+,,,+,-63,,9,24,-37,-40
3189,景碩,2020/06,M,-,4,5 2, P +,+,,,,742,,137,34,100,65
3191,和進,2020/06,M,-,8,7 7,AP,+,,,,280,,2,-27,100,24
3202,樺晟,2020/06,M, ↑,7,5 5,AP,+,,,+,501,,28,55,93,1
3205,佰研,2020/06,M,-,7,6 6, P +,+,,,,358,,3,-20,100,89
3206,志豐,2020/06,M,-,6,5 4,A,,,,,578,,18,61,99,62
3207,耀勝,2020/06,M,-,8,7 7,AP,+,,,,299,,3,2,83,38
3209,全科,2020/06,M,-,7,5 5, P,+,,,,495,,126,33,27,63
3211,順達,2020/06,M,-,4,2 2,A,,,,,686,,105,53,89,52
3213,茂訊,2020/06,M,-,5,4 4,AP,,,,,535,,18,61,97,27
3217,優群,2020/06,M,-,5,5 3,A,,,,,674,,20,116,100,-14
3218,大學光,2020/06,M, ↑,5,4 2,,,,,,713,,14,106,100,67
3219,倚強股份,2020/06,M,-,8,6 2,AP,+,,,,747,,1,120,100,86
3221,台嘉碩,2020/06,M,-,6,6 6, P,+,,,,401,,16,9,97,47
3224,三顧,2020/06,M,-,7,6 6,AP +,+,,,,368,,10,-11,100,61
3226,至寶電,2020/06,F,-,6,4 2,,+,,,,689,,12,101,100,62
3227,原相,2020/06,M,-,4,3 2,,,,,,734,,62,88,100,46
3228,金麗科,2020/06,F,-,8,8 8, P,+,,,,229,,2,-15,96,-40
3229,晟鈦,2020/06,M,-,7,7 7,AP +,+,,,,251,,3,-49,100,60
3230,錦明,2020/06,M,-,8,6 6,AP,+,,,,350,,7,8,96,18
3231,緯創,2020/06,M,-,4,5 3,AP +,,,,+,608,,140,30,55,75
3232,昱捷,2020/06,M,-,7,6 6, P,+,,,,413,,4,17,100,53
3234,光環,2020/06,M,-,9,8 8, P,,,,,209,,12,2,53,20
3236,千如,2020/06,M,-,5,6 6,A,,,,,393,,13,15,88,57
3252,海灣,2020/06,M,-,9,9 9,AP,,,,,-3,,3,-10,13,-40
3257,虹冠電,2020/06,M, ↑,6,6 4,,+,,,,541,,7,78,100,-7
3259,鑫創,2020/06,M,-,8,9 9, P,,,,,134,,3,-60,100,-23
3260,威剛,2020/06,M,-,5,3 3,A,,,,+,630,,131,71,34,56
3264,欣銓,2020/06,M,-,4,3 2,,,,,,741,,85,81,86,70
3265,台星科,2020/06,M,-,6,5 5,AP,+,,,,436,,34,1,100,62
3266,昇陽,2020/06,M,-,5,7 7, P,,,,,251,,31,14,54,-18
3268,海德威,2020/06,M,-,8,7 7,AP,,,,,265,,5,-9,89,-4
3272,東碩,2020/06,M,↓,6,6 6,AP,+,,,,404,,33,32,79,4
3276,宇環,2020/06,M,-,7,9 9,AP,+,,,,160,,9,-20,62,7
3284,太普高,2020/06,M,-,7,7 7,AP +,+,,,,278,,5,-10,89,11
3285,微端,2020/06,M,-,6,6 6,AP,+,,,,372,,4,-3,100,65
3287,廣寰科,2020/06,M,-,7,6 5,,,,,,481,,3,67,100,-27
3288,點晶,2020/06,M,-,9,8 8,AP,,,,,177,,1,-12,77,-40
3289,宜特,2020/06,M, ↑,7,5 5,,,,,,432,,36,38,75,19
3290,東浦,2020/06,M,-,7,6 6,A,+,,,,384,,14,22,87,30
3293,鈊象,2020/06,M,-,5,3 1,A,,,,,800,,59,120,100,22
3294,英濟,2020/06,M,-,6,6 6,AP +,,,,,339,,38,-10,83,46
3296,勝德,2020/06,M,-,6,6 6,AP,,,,,382,,15,-2,100,51
3297,杭特,2020/06,M,↓,8,7 7, P,,,,,312,,3,-10,96,26
3303,岱稜,2020/06,M,-,6,4 4,A,,,,,522,,19,62,89,32
3305,昇貿,2020/06,M,-,6,6 6,A,,,,,386,,44,11,84,14
3306,鼎天,2020/06,M,-,6,6 6, P,,,,,408,,9,,100,91
3308,聯德,2020/06,M,-,8,8 8,AP,+,,,,168,,6,-11,72,-40
3310,佳穎,2020/06,M,-,7,7 7,AP,+,,,,335,,15,28,52,66
3311,閎暉,2020/06,M,-,6,7 7,AP,,,,,328,,15,-33,100,79
3312,弘憶股,2020/06,M,-,6,5 5, P,+,,,,502,,61,20,82,75
3313,斐成,2020/06,M,-,7,6 6, P,+,,,,384,,3,-9,100,99
3317,尼克森,2020/06,M,-,6,5 5,A,,,,,481,,18,48,100,2
3321,同泰,2020/06,M,-,8,9 9,AP +,+,,,,-376,,16,-60,-41,27
3322,建舜電,2020/06,M,-,7,6 6, P,,,,,382,,17,-3,95,55
3323,加百裕,2020/06,M,-,5,4 4,,,,,,518,,60,34,90,26
3324,雙鴻,2020/06,M,-,4,3 2,,+,,,,730,,66,98,94,22
3325,旭品,2020/06,M,-,7,5 4,A,+,,,,514,,11,75,91,-6
3332,幸康,2020/06,M,-,6,6 5,A,+,,,,480,,7,51,100,12
3338,泰碩,2020/06,M,-,5,4 4,,,,,,573,,39,68,95,6
3339,泰谷,2020/06,M,-,9,9 9,AP,,,,,57,,4,-36,56,-22
3342,飛虹高,2020/06,F,-,9,9 9,AP,,,,,-215,,1,-21,-48,29
3346,麗清,2020/06,M,-,8,9 9,AP,,,,,76,,32,-13,37,-40
3349,寶德,2020/06,M,-,7,7 7,AP,+,,,,317,,2,-22,100,41
3354,律勝,2020/06,M,-,7,6 6,AP,+,,,,354,,4,-12,99,62
3356,奇偶,2020/06,M,-,7,7 7,AP,+,,,,313,,13,12,95,-40
3357,臺慶科,2020/06,M,-,5,4 3,,,,,,652,,37,106,92,-15
3360,尚立,2020/06,M,-,6,6 6, P,,,,,370,,77,25,20,79
3362,先進光,2020/06,M,-,7,6 6, P,+,,,,341,,23,3,97,-21
3363,上詮,2020/06,M,-,6,5 5,A,+,,,,460,,11,36,100,30
3369,鐵研,2020/06,M, ↑,8,6 6, P,+,,,,344,,4,42,77,-19
3372,典範,2020/06,F,-,7,6 6, P,,,,,368,,10,-10,100,59
3373,熱映,2020/06,M, ↑,5,4 3,,+,,,,665,,10,120,100,-14
3374,精材,2020/06,F,-,6,3 3,,+,,,,671,,48,74,91,80
3376,新日興,2020/06,M,-,4,2 2,,,,,,691,,95,61,100,18
3377,健格,2020/06,M,-,6,8 8, P,,,,,227,,3,,85,-40
3379,彬台,2020/06,M,-,7,8 8,AP,,,,,175,,4,-42,100,-40
3380,明泰,2020/06,M,-,4,4 4,AP,+,,,+,518,,119,4,90,-1
3383,新世紀,2020/06,M,-,D,9 9,AP +,,,,,"-1,335",,8,-60,-277,12
3388,崇越電,2020/06,M,-,4,3 3,,+,,,,592,,48,47,100,54
3390,旭軟,2020/06,M,-,7,7 7, P,+,,,,280,,7,-15,96,6
3391,佳得,2020/06,M,↓,8,8 8,AP,,,,,200,,4,-26,94,-40
3402,漢科,2020/06,M,-,6,5 5,,,,,,423,,20,50,91,-40
3406,玉晶光,2020/06,M,-,5,3 1,A,+,,,,761,,103,87,86,37
3413,京鼎,2020/06,M,-,4,3 1,,+,,,,787,,65,111,94,44
3416,融程電,2020/06,M,-,5,5 4,AP,+,,,,563,,13,73,100,17
3419,譁裕,2020/06,M,-,7,7 7, P,+,,,,326,,12,-11,94,33
3426,台興,2020/06,M,-,6,6 4,,+,,,,541,,4,54,100,72
3429,彥陽,2020/06,M,-,8,8 8,APL,,,,,181,,19,21,12,45
3430,奇鈦科,2020/06,M,-,6,7 7,A,+,,,,295,,7,36,60,-9
3432,台端,2020/06,M,-,7,7 7, P,,,,,252,,1,-12,65,76
3434,哲固,2020/06,M,-,7,7 7,AP,+,,,,294,,3,-5,87,22
3437,榮創,2020/06,M,-,6,6 6, P +,+,,,,346,,36,-17,98,29
3438,類比科,2020/06,M,-,6,6 5,,+,,,,449,,8,30,100,43
3441,聯一光電,2020/06,M,-,7,7 7,AP,,,,,275,,3,-6,100,-40
3443,創意,2020/06,M,-,3,4 4,,+,,,,556,,72,20,100,53
3444,利機,2020/06,M,-,6,6 4,A,,,,,527,,5,79,99,-17
3450,聯鈞,2020/06,M,-,4,3 3,,,,,,674,,53,68,100,64
3454,晶睿,2020/06,M,-,4,5 5,A,+,,,,499,,41,33,96,31
3455,由田,2020/06,M,↓,7,7 7,AP,,,,,291,,20,1,94,-40
3465,進泰電子,2020/06,M,-,9,7 7, P,+,,,,313,,1,-38,100,95
3466,致振,2020/06,M,-,7,6 6,AP,+,,,,357,,9,-7,100,38
3472,友荃,2020/06,M, ↑,9,8 8,,+,,,,195,,1,,75,-40
3479,安勤,2020/06,M,-,5,4 4,A,,,,,590,,39,50,100,64
3481,群創,2020/06,M,-,6,5 5,AP +,+,,,,498,,140,-15,88,64
3483,力致,2020/06,M,-,7,4 4,,+,,,,539,,40,60,91,6
3484,崧騰,2020/06,M,-,5,4 4,,,,,,506,,29,43,90,48
3485,敘豐,2020/06,M,-,6,7 7,AP,,,,,259,,2,-10,100,-40
3489,森寶,2020/06,M,-,8,8 8, P,+,,,,230,,14,4,39,75
3490,單井,2020/06,M,-,8,7 7, P,+,,,,269,,4,,98,-34
3491,昇達科,2020/06,M,-,5,5 4,A,,,,,509,,15,60,100,1
3492,長盛,2020/06,M,-,6,6 6,AP,+,,,,375,,4,3,100,50
3494,誠研,2020/06,M,-,9,9 9,AP +,,,,,-79,,9,-57,47,-40
3498,陽程,2020/06,M,-,6,6 6, P,+,,,,337,,17,14,100,-40
3499,環天科,2020/06,M,↓,8,8 8,AP,,,,,240,,4,-15,83,12
3501,維熹,2020/06,M,-,5,5 5,A,+,,,,501,,45,44,100,-19
3504,揚明光,2020/06,M,-,5,6 6,AP,+,,,,361,,40,-12,90,49
3507,力群,2020/06,M,↓,7,7 7,AP,,,,,288,,3,-20,100,20
3508,位速,2020/06,M,-,8,7 7,AP,,,,,297,,11,-40,100,69
3511,矽瑪,2020/06,M,-,6,6 5,AP,+,,,,464,,8,28,100,63
3512,皇龍,2020/06,M,-,8,7 7,,,,,,328,,19,53,22,64
3515,華擎,2020/06,M,-,4,2 2,,+,,,,694,,89,73,97,8
3516,亞帝歐,2020/06,M,-,7,7 7, P,,,,,332,,6,11,100,-13
3518,柏騰,2020/06,M,-,7,8 8, P +,+,,,,219,,6,-14,90,-40
3520,華盈電子,2020/06,M,-,8,7 7, P,+,,,,322,,5,2,100,-3
3521,鴻翊,2020/06,M,-,8,9 9,AP,,,,,-4,,5,-21,30,-40
3522,御頂,2020/06,M,-,8,9 9, P +,+,,,,43,,12,-60,61,45
3523,迎輝,2020/06,M,-,9,9 9,AP +,+,,,,110,,2,-21,53,-2
3526,凡甲,2020/06,M,-,6,5 3,,,,,,672,,19,114,95,7
3527,聚積,2020/06,M,-,5,6 6,AP,,,,,361,,15,21,100,-32
3528,安馳,2020/06,F,-,6,5 5, P,,,,,501,,32,54,80,34
3529,力旺,2020/06,M,-,5,5 1,,,,,,782,,12,120,100,98
3530,晶相光,2020/06,M,-,6,6 6,A,+,,,,398,,18,34,100,-40
3531,先益,2020/06,M,-,6,5 5,AP,+,,,,423,,13,13,100,49
3532,台勝科,2020/06,M,-,4,3 2,,+,,,,693,,95,60,100,25
3533,嘉澤,2020/06,M,-,4,2 1,,,,,,817,,99,108,100,-4
3535,晶彩科,2020/06,M,-,7,6 6,A,,,,,341,,9,34,87,-40
3536,誠創,2020/06,M,-,9,9 9,AP,,,,,-380,,6,-45,-62,37
3537,堡達,2020/06,M,-,6,4 4,,,,,,570,,16,68,100,35
3540,曜越,2020/06,M,-,6,4 4,A,,,,,534,,31,74,84,-1
3541,西柏,2020/06,M,-,5,5 4,,+,,,,588,,12,85,91,37
3543,州巧,2020/06,M,-,7,6 6, P,+,,,,400,,30,-1,100,41
3545,敦泰,2020/06,M,-,5,4 4,A,+,,,+,538,,76,16,100,38
3546,宇峻,2020/06,M,-,6,5 2,,,,,,693,,10,99,100,78
3548,兆利,2020/06,M,-,5,4 4,,,,,,507,,46,27,100,33
3550,聯穎,2020/06,M,-,6,6 6, P,,,,,380,,26,10,94,17
3551,世禾,2020/06,M,-,5,5 3,A,,,,,601,,21,64,100,68
