代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
8931,大汽電,2020/06,M,-,6,5 5,,+,,,,452,,20,68,47,67
8932,宏大,2020/06,M,-,8,8 8,AP,+,,,,196,,6,-14,75,-14
8933,愛地雅,2020/06,M,-,9,8 8, P,+,,,,177,,31,-1,27,39
8934,衡平,2020/06,M,-,7,8 8,AP,+,,,,229,,4,-16,54,99
8935,邦泰,2020/06,M,-,8,8 8, P,,,,,229,,8,6,59,13
8936,國統,2020/06,M,-,8,7 7,AP,,,,,315,,47,23,64,-40
8937,合騏,2020/06,M,-,7,7 7, P,+,,,,286,,3,-10,100,-16
8938,明安,2020/06,M,-,5,4 4,,,,,,533,,68,28,86,57
8940,新天地,2020/06,M,-,7,7 7, P,+,,,,287,,8,-5,80,38
8941,關中,2020/06,M,-,6,5 5,,+,,,,491,,15,42,85,81
8942,森鉅,2020/06,M,↓,5,5 5,A,,,,,465,,44,49,90,-40
8996,高力,2020/06,M,-,5,5 5,,+,,,,423,,18,46,77,18
9802,鈺齊-KY,2020/06,M,-,4,3 3,A,,,,,660,,82,66,85,44
9902,台火,2020/06,M,-,8,7 7,AP,,,,,277,,4,,100,-40
9904,寶成,2020/06,M,↓,4,4 4, P,,,,,570,,140,-2,83,66
9905,大華,2020/06,M,-,4,4 4,A,,,,,571,,64,40,100,23
9906,欣巴巴,2020/06,M,-,8,9 9, PL+,+,,,,"-1,113",,1,-12,-313,-40
9907,統一實,2020/06,M,-,4,3 3, P,+,,,,622,,140,5,82,80
9908,大台北,2020/06,M,-,4,3 3,,+,,,,670,,54,57,100,93
9910,豐泰,2020/06,M,-,2,1 1,,+,,,+,878,,140,89,82,84
9911,櫻花,2020/06,M,-,4,3 2,,,,,,697,,51,75,98,77
9912,偉聯,2020/06,M,-,8,9 9,AP,,,,,130,,3,-19,69,-40
9914,美利達,2020/06,M,-,3,1 1,,,,,,853,,132,79,92,76
9917,中保科,2020/06,M,-,3,2 1,,,,,,823,,102,92,85,90
9918,欣天然,2020/06,M,-,4,4 2,,+,,,,681,,26,80,100,91
9919,康那香,2020/06,M,-,6,4 4,,,,,,586,,42,84,75,26
9921,巨大,2020/06,M,-,3,1 1,,+,,,,770,,140,69,81,40
9924,福興,2020/06,M,-,4,3 2,A,,,,,704,,63,73,100,61
9925,新保,2020/06,M,-,4,3 2,,,,,,703,,73,55,100,91
9926,新海,2020/06,M,-,4,4 2,,+,,,,690,,32,79,100,90
9927,泰銘,2020/06,M,-,4,5 5,AP,,,,,461,,57,1,100,45
9929,秋雨,2020/06,M,-,8,6 6, P,,,,,410,,13,-8,100,90
9930,中聯資源,2020/06,M,-,4,3 3,,+,,,,646,,74,57,79,91
9931,欣高,2020/06,M,-,5,4 4,A,+,,,,558,,18,58,100,47
9933,中鼎,2020/06,M,-,3,5 4, P,+,,,+,553,,140,21,68,6
9934,成霖,2020/06,M,-,5,5 5, P,+,,,,437,,93,-1,79,50
9935,慶豐富,2020/06,M,-,7,6 6,AP,,,,+,370,,44,34,50,31
9937,全國,2020/06,M,-,4,3 3,,,,,+,626,,97,40,71,99
9938,百和,2020/06,M,-,4,3 3,,+,,,,614,,110,84,58,-31
9939,宏全,2020/06,M,-,4,3 3,A,,,,,643,,123,58,54,61
9942,茂順,2020/06,M,-,4,4 4,,,,,,529,,26,69,100,-29
9943,好樂迪,2020/06,M,-,5,4 2,,+,,,,689,,34,88,100,48
9944,新麗,2020/06,M,-,6,5 5,AP,+,,,,436,,27,27,87,40
9945,潤泰新,2020/06,M,-,5,3 3,A,,,,+,649,,124,54,58,66
9946,三發地產,2020/06,M,-,7,4 4,AP,+,,,,538,,46,55,80,40
9949,琉園,2020/06,M,-,7,8 8,AP,,,,,235,,2,-17,100,-40
9950,萬國通,2020/06,M,-,8,9 9,APL+,,,,,-310,,24,-45,-47,44
9951,皇田,2020/06,M,-,4,4 4,A,,,,,538,,37,51,93,33
9955,佳龍,2020/06,M,-,8,8 8, P,+,,,,202,,14,-19,61,40
9957,燁聯,2020/06,M,-,8,9 9, P,+,,,,-32,,140,-27,-26,81
9958,世紀鋼,2020/06,M, ↑,6,4 4,,+,,,,522,,55,72,79,-40
9960,邁達康,2020/06,M,-,6,6 5,,,,,,432,,3,44,86,39
9962,有益,2020/06,M,-,6,6 6, P,+,,,,344,,12,-4,88,53
